smiles,pathways,superclasses,classes,class_results,superclass_results,pathway_results,isglycoside
COc1cc2c(c(O)c1OC)CNCC2,['Alkaloids'],['Tyrosine alkaloids'],['Tetrahydroisoquinoline alkaloids'],['Isoquinoline alkaloids'],['Tyrosine alkaloids'],['Alkaloids'],False
C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(-c4cc(O)c(O)c(O)c4)oc3c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,['Shikimates and Phenylpropanoids'],['Flavonoids'],['Flavones'],['Flavonols'],['Flavonoids'],['Shikimates and Phenylpropanoids'],True
C/C=C/CCC[C@@H](O)C1C2=C(CC([C@H](O)[C@@H]3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)[C@@H]1O)C(=O)OC2=O,['Polyketides'],['Cyclic polyketides'],['Maleidrides'],['Nonadrides'],['Cyclic polyketides'],['Polyketides'],False
CCCCCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CCCN=C(N)N)C(=O)NC2CCC(O)N(C2=O)C(CC(C)C)C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CC1OC2CC(=O)OC2C2=C1C(=O)c1cc(-c3cc(O)c4c(c3)C(=O)C3=C(C4=O)C4OC(=O)CC4OC3C)cc(O)c1C2=O,['Polyketides'],['Naphthalenes'],['Bisnaphthalenes'],['Naphthoquinones'],['Naphthalenes'],['Polyketides'],False
CC1CCC2C(C)CC=C(C(C)C)C2C1,['Terpenoids'],['Sesquiterpenoids'],['Chiloscyphane sesquiterpenoids'],['Cadinane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CC1=C2CC3(C)OC2(CC1=O)C1(C)OC1CC(=O)C(C)(C(C)C)CC3=O,['Terpenoids'],['Diterpenoids'],['Fusicoccane diterpenoids'],['Cembrane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CC1CCC2C(=CCCC2(C)C)C1(C)CCC1=CC(=O)OC1,['Terpenoids'],['Diterpenoids'],['Norlabdane diterpenoids'],['Halimane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CC(C)=CC(=O)c1c(O)cc2c(c1C)OC(=O)c1c(C)cc(O)c(C=O)c1O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
COc1c(C(C)C)cc2c(c1O)C=C1C=CC(O)C(C)(C)C1=CC2,['Terpenoids'],['Diterpenoids'],['Icetexane diterpenoids'],['Abeoabietane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
COc1cc(OC)c2oc(=O)c(CO)cc2c1,['Shikimates and Phenylpropanoids'],['Coumarins'],['Isocoumarins'],['Simple coumarins'],['Coumarins'],['Shikimates and Phenylpropanoids'],False
CC1=CC(O)CC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C=O,['Terpenoids'],['Carotenoids (C40)'],"['Carotenoids (C40, β-Ψ)']","['Carotenoids (C40, ε-Ψ)']",['Carotenoids (C40)'],['Terpenoids'],False
C=C(CCC(C)C1CCC2C3CCC4CC(O)CCC4(CO)C3=CC(O)C12C)C(C)C,['Terpenoids'],['Steroids'],['Cholestane steroids'],['Ergostane steroids'],['Steroids'],['Terpenoids'],False
CSC1=CC(=O)OC2(C)Oc3ccc4ccc(=O)oc4c3CC12C,['Shikimates and Phenylpropanoids'],['Coumarins'],['Pyranocoumarins'],['Simple coumarins'],['Coumarins'],['Shikimates and Phenylpropanoids'],False
CCOC12CC(=O)C(C(C)=N)=C(O)C1(C)c1c(O)c(C)c(O)c(C(C)=O)c1O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Usnic acid and derivatives'],['Aromatic polyketides'],['Polyketides'],False
C[C@]1(CO)CC[C@]23C[C@H]1C[C@@H]2CC[C@@H]1[C@]3(C)CC[C@@H](O)[C@@]1(C)CO,['Terpenoids'],['Diterpenoids'],['Tetracyclic diterpenoids'],['Aphidicolane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CCC=CC1=C2CCC3=C(C(=O)OC3=O)C(CCC)=C2OC1=O,['Polyketides'],['Cyclic polyketides'],['Maleidrides'],['Nonadrides'],['Cyclic polyketides'],['Polyketides'],False
CCC(C)C1NC(=O)c2coc(n2)C(C(C)C)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)c2csc1n2,['Amino acids and Peptides'],['Oligopeptides'],['Cyclamides'],['Cyclic peptides'],['Oligopeptides'],['Amino acids and Peptides'],False
Cc1cc(O)c(C=O)c(O)c1C(=O)OCc1cc(O)c(C=O)c(O)c1,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
C=C[C@@H](CO)[C@H]1CCN2CCc3c([nH]c4ccccc34)[C@@H]2C1,['Alkaloids'],['Tryptophan alkaloids'],['Carboline alkaloids'],['Corynanthe type'],['Tryptophan alkaloids'],['Alkaloids'],False
CCC(C)C1NC(=O)C(Cc2ccccc2)N(C)C(=O)C(CC(C)C)N2C(=O)C(CCC2O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)C(O)Cc2ccc(O)cc2)C(C)OC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C(CC(C)C)N2C(=O)C(CCC2OC)NC(=O)C(CC(C)C)NC(=O)C2C(OC1=O)C(C)CN2C(=O)C(CCC(N)=O)NC(C)=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCCCCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(Cc2ccc(O)cc2)C(=O)NC2CCC(O)N(C2=O)C(C(C)CC)C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
COC(=O)CCCC#CC#CCCCCCC/C=C(Br)/C=C/Br,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCCCCCCC1CC2=C(CC(CCCCCC)CC(C(=O)O)=C1C(=O)O)C(=O)OC2=O,['Polyketides'],['Cyclic polyketides'],['Maleidrides'],['Nonadrides'],['Cyclic polyketides'],['Polyketides'],False
CCC(C)C1NC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)CC)N2C(=O)C(CCC2OC)NC(=O)C(CCCN=C(N)N)NC(=O)C(N)C(C)OC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
Cc1cc2c(c3c1CC(C)(C)C3)COC2=O,['Terpenoids'],['Sesquiterpenoids'],['Lactarane sesquiterpenoids'],['Illudalane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CCCCCCCCCC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Straight chain fatty acids'],"['Branched fatty acids', 'Unsaturated fatty acids']",['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Straight chain fatty acids'],"['Hydroxy fatty acids', 'Unsaturated fatty acids']",['Fatty Acids and Conjugates'],['Fatty acids'],False
CC(=O)OCC12C(OC(C)=O)C(=O)C3C(OC(C)=O)C1(OC3(C)C)C(C)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O,['Terpenoids'],['Sesquiterpenoids'],['Eudesmane sesquiterpenoids'],['Agarofuran sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1C(C)=CCC(CC=C(C)C)C1(C)C,['Terpenoids'],['Carotenoids (C45)'],"['Carotenoids (C45, β-Ψ)']","['Carotenoids (C45, ε-Ψ)']",['Carotenoids (C45)'],['Terpenoids'],False
Cc1c(C)c(C(=O)Oc2c(C)c(C)c(C(=O)Oc3c(C)c(C)c(C(=O)O)c(O)c3C)c(O)c2C)c(O)c(C)c1O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
CC1=CCC2C(CC#N)(CCC3C(C)(C(=O)OCCO)CCCC23C)C1,['Terpenoids'],['Diterpenoids'],['Norlabdane diterpenoids'],['Cassane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CCCCCCCCCCCCCCC(F)(F)C(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Branched fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C(Cc2ccccc2)N2C(=O)C(CCC2O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(O)COS(=O)(=O)O)C(C)OC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCCCCc1cc(OC(=O)c2c(O)cc(OC)cc2CC(=O)CCC)cc(O)c1C(=O)O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
COCC1OC(OC2OCC3OC4(OC3C2OC(=O)C(C)C)OC(C)C(O)(C(C)=O)C2OCOC24)C(OC)C(O)C1OC1OC(C)C(OC)C(OC2CC3(C)OC4(CC(O)C(OC5CC(O)C(OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6O)C(C)O5)C(C)O4)OC3C(C)O2)C1O,['Carbohydrates'],['Saccharides'],['Avilamycin and derivatives'],['Orthosomycins'],['Saccharides'],['Carbohydrates'],True
C=C1C(=O)C[C@]2(C(C)C)C[C@H]12,['Terpenoids'],['Monoterpenoids'],['Menthane monoterpenoids'],['Thujane monoterpenoids'],['Monoterpenoids'],['Terpenoids'],False
CC(=O)OCC(O)COC(=O)C1C(C)CCC2(C)C3CCC=C(C)C3(C)CCC12C,['Terpenoids'],['Diterpenoids'],['Podocarpane diterpenoids'],['Spongiane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CC[C@H](C)CCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC/C=C\CCCC(=O)N[C@@H](COS(=O)(=O)O[C@@H]1O[C@H](C)[C@H](O)C(O)C1O)[C@H](O)/C=C/CCCCCCCCCC[C@H](C)CC,['Fatty acids'],['Sphingolipids'],['Neutral glycosphingolipids'],['Acidic glycosphingolipids'],['Sphingolipids'],['Fatty acids'],True
CC(=CC1CC2=C(C)CCC2C(C)C1)CO,['Terpenoids'],['Sesquiterpenoids'],['Aristolane sesquiterpenoids'],['Valerenane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CCCCC1CC2=C(C(=O)OC2=O)C(C(O)CCCC)CC2=C1C(=O)OC2=O,['Polyketides'],['Cyclic polyketides'],['Maleidrides'],['Nonadrides'],['Cyclic polyketides'],['Polyketides'],False
CC1=CCC2C3(C)CCC2(CC3)C1(C)C,['Terpenoids'],['Sesquiterpenoids'],['Thujopsane sesquiterpenoids'],['Clovane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1c(cc(OC)cc1C(=O)CC)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
O=C(Oc1c(C(=O)c2ccccc2)c(OC(=O)c2ccccc2)c2c(=O)c(OC(=O)c3ccccc3)c(-c3ccc(O)c(O)c3)oc2c1C(=O)c1ccccc1)c1ccccc1,['Shikimates and Phenylpropanoids'],['Flavonoids'],['Flavonols'],['Chalcones'],['Flavonoids'],['Shikimates and Phenylpropanoids'],False
COc1cc(C)c2c(c1O)Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CN(C)C(=O)Oc1ccc(CC[NH+](C)C)cc1,['Alkaloids'],['Tyrosine alkaloids'],['Amarylidaceae alkaloids'],['Phenylethylamines'],['Tyrosine alkaloids'],['Alkaloids'],False
Cc1cc(O)c(O)c2c1C(=O)Oc1c(C)c(C(=O)O)c(O)c(CO)c1O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CCCCCC[C@@H](O)[C@@H]1C2=C(C[C@H]([C@H](O)[C@@H]3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)[C@@H]1O)C(=O)OC2=O,['Polyketides'],['Cyclic polyketides'],['Maleidrides'],['Nonadrides'],['Cyclic polyketides'],['Polyketides'],False
COCC1=C(O)C(=O)[C@@H]2C[C@H]3C[C@](C)(C(=O)O)C[C@H]3[C@]12C,['Terpenoids'],['Sesquiterpenoids'],['Hirsutane sesquiterpenoids'],['Cycloeudesmane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CC/C=C/C(CC)C(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Branched fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CC1=CC2CCCC3CCC1(C)C2C3,['Terpenoids'],['Sesquiterpenoids'],['Clovane sesquiterpenoids'],['Eudesmane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Straight chain fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
COc1cc(CC(COC(C)=O)C(COC(C)=O)Cc2ccc(OC(C)=O)c(OC)c2)ccc1OC(C)=O,['Shikimates and Phenylpropanoids'],['Lignans'],['Arylnaphthalene and aryltetralin lignans'],['Dibenzylbutane lignans'],['Lignans'],['Shikimates and Phenylpropanoids'],False
COc1ccc2c(c1O)-c1c(OC)c(OC)cc3c1C(C2)NC(C(O)C(O)C1c2ccc(OC)c(O)c2-c2c(OC)c(OC)cc4c2C1NCC4)C3,['Alkaloids'],['Tyrosine alkaloids'],['Aporphine alkaloids'],['Isoquinoline alkaloids'],['Tyrosine alkaloids'],['Alkaloids'],False
Cc1c2c(c(O)c3c1C(=O)CC(C)(C)O3)OC(=O)c1c(C)c(Cl)c(O)c(C=O)c1O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C(CC(C)C)N2C(=O)C(CCC2O)NC(=O)C(CC(C)C)NC(=O)C2C(OC1=O)C(C)CN2C(=O)C(CCC(N)=O)NC(C)=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(Cc2ccc(O)cc2)C(=O)NC2CCC(O)C(C2=O)N(Cc2ccccc2)C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(COC(=O)C=CC(=O)O)c(O)c(C(=O)O)c(C)c1O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CC1(C)CC2=C(CC3(CC3)C(C)(O)C2=O)C1=O,['Terpenoids'],['Sesquiterpenoids'],['Illudalane sesquiterpenoids'],['Illudane sesquiterpenoids'],['Sesquiterpenoids'],['Terpenoids'],False
CC(C)=CCc1cc2c(c3c1OCC(c1ccc(O)cc1)C3=O)OC(C)(C)C(O)C2,['Shikimates and Phenylpropanoids'],['Isoflavonoids'],['Isoflavones'],['Isoflavanones'],['Isoflavonoids'],['Shikimates and Phenylpropanoids'],False
COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc(OC(=O)c4c(C)cc(OC)cc4O)cc3O)cc2O)cc1O,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
COc1c(O)ccc2c1Oc1c(cc(CC=C(C)C)c3c1C=CC(C)(C)O3)C(=O)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CCCCCCC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Straight chain fatty acids'],"['Branched fatty acids', 'Unsaturated fatty acids']",['Fatty Acids and Conjugates'],['Fatty acids'],False
CC=C(C)c1cc(O)c(C)c2c1Oc1cc(O)cc(C)c1C(=O)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
COC(C)(C=C1C=C(C)C(=O)O1)CC1C=C(CCC(C=O)=C(C)C)C(=O)O1,['Terpenoids'],['Diterpenoids'],['Cembrane diterpenoids'],['Secoabietane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
C=CC#CC#CC#CC#CC#CC,['Fatty acids'],['Fatty acyls'],['Hydrocarbons'],"['Fatty alcohols', 'Fatty aldehydes']",['Fatty acyls'],['Fatty acids'],False
O=C(O)/C(Cl)=C(Cl)\C=C(\Cl)C(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCCCC(=O)Cc1cc(O)cc2c1C(=O)Oc1c(C)c(O)c(C(=O)O)c(CCCCC)c1O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CCC/C=C\C(Br)=C/C(O)CCCCCC/C=C/C#CC#CCCC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CC1(C)CCCC2(C)C1CCC13CC(OP(=O)(O)OP(=O)(O)O)C(C)(CCC12)C3,['Terpenoids'],['Diterpenoids'],['Beyerane diterpenoids'],['Norkaurane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
COc1c(O)c(CC=C(C)C)cc2c1Oc1cc(O)c(CC=C(C)C)c(O)c1C(=O)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
Oc1ccc(C2=CCc3ccc(O)cc3O2)cc1,['Shikimates and Phenylpropanoids'],['Flavonoids'],['Flavandiols (Leucoanthocyanidins)'],['Anthocyanidins'],['Flavonoids'],['Shikimates and Phenylpropanoids'],False
CCC(C)CCC1C(C)CCC2C(C)(O)CCCC12C,['Terpenoids'],['Diterpenoids'],['Norlabdane diterpenoids'],['Labdane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
Cc1cc(OC(=O)c2c(C)cc(O)cc2O)c(C)c(O)c1C,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsides'],['Aromatic polyketides'],['Polyketides'],False
O=C(O)/C(Cl)=C\C(=O)C(Cl)C(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Dicarboxylic acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CC=C1NC(=O)C(NC(=O)C(CCS(C)=O)NC(=O)C(NC(=O)CCC)C(C)CC)C(C)OC(=O)C(C(C)C)NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C(Cc2ccccc2)N2C(=O)C(CCC2O)NC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCCCCCC(O)C1C(C(=O)O)=C(C(=O)O)CC(C(O)C2CC=CC(=O)C2)CC2=C(C(=O)OC2=O)C1O,['Polyketides'],['Cyclic polyketides'],['Maleidrides'],['Nonadrides'],['Cyclic polyketides'],['Polyketides'],False
COCC1OC(OC2OCC3OC4(OCC(OC(=O)c5c(C)cc(O)cc5O)C5OCOC54)OC3C2O)C(OC)C(O)C1OC1OC(C)C(OC)C(OC2OC(C)C3OC4(CC(O)C(OC5CC(OC6CC(C)([N+](=O)[O-])C(OC)C(C)O6)C(OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)C(C)O5)C(C)O4)OC3(C)C2O)C1O,['Carbohydrates'],['Saccharides'],['Avilamycin and derivatives'],['Orthosomycins'],['Saccharides'],['Carbohydrates'],True
COC(=O)C1(C)CCCC2(C)C1CCC13OOC(CC21)C1(C(C)C)OC31,['Terpenoids'],['Diterpenoids'],['Podocarpane diterpenoids'],['Abietane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
C=C(C)[C@@H]1CC(=O)C[C@H]2C(=O)C3=C(C)C[C@@H]4OC(=O)[C@]3([C@H]4O)[C@@H]2C1,['Terpenoids'],['Diterpenoids'],['Norcembrane diterpenoids'],['Cembrane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
C[C@H](Br)CC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Branched fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CC(=O)OCC12CCCC(C)(C)C1CCC1(C)c3occc3C(=O)CC12,['Terpenoids'],['Diterpenoids'],['Podocarpane diterpenoids'],['Spongiane diterpenoids'],['Diterpenoids'],['Terpenoids'],False
CC(C)CC=C[C@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C,['Terpenoids'],['Steroids'],['Stigmastane steroids'],['Cholestane steroids'],['Steroids'],['Terpenoids'],False
CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C(C(C)CC)N2C(=O)C(CCC2O)NC(=O)C(CCc2ccc(O)cc2)NC(=O)C(NC(=O)C(CCc2ccc(O)cc2)NC(=O)C(COS(=O)(=O)O)OC)C(C)OC1=O,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCCCCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(Cc2ccc(O)cc2)C(=O)NC2CCC(O)N(C2=O)C(C(C)CC)C(=O)N(C)C(Cc2c[nH]c3ccccc23)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCC(C)C(NC(=O)c1nc(-c2nc(-c3csc(-c4nc(-c5csc(C(CCCN=C(N)N)N(C)C)n5)oc4C)n3)oc2C)oc1C)C(=O)NC(c1nc(-c2nc(-c3nc(-c4nc(C5=NC(C(=O)NC(Cc6ccccc6)C(=O)O)C(C)O5)co4)co3)co2)co1)C(C)CC,['Amino acids and Peptides'],['Oligopeptides'],['Linear peptides'],['RiPPs-Thiopeptides'],['Oligopeptides'],['Amino acids and Peptides'],False
CCCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CCCN=C(N)N)C(=O)NC2CCC(O)N(C2=O)C(Cc2ccccc2)C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)OC1C,['Amino acids and Peptides'],['Oligopeptides'],['Cyanopeptolins'],"['Ahp-containing cyclodepsipeptides', 'Cyclic peptides', 'Depsipeptides', 'Lipopeptides']",['Oligopeptides'],"['Amino acids and Peptides', 'Polyketides']",False
CCCCCCC/C=C/C(=O)CCCCCCCC(CCCCCCC)C(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Oxo fatty acids'],['Branched fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Straight chain fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CC(C)C(C)C=CC(C)C1CCC2C1(C)CCC1C23CCC2(CC(OC4OC(CO)C(O)C(O)C4O)CCC12C)OO3,['Terpenoids'],['Steroids'],['Cholestane steroids'],['Ergostane steroids'],['Steroids'],['Terpenoids'],True
COC(=O)CCCC#CC#C/C=C/CCCC/C=C/C=C/Br,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
O=C(O)/C(Cl)=C(Cl)\C(Cl)=C(\Cl)C(=O)O,['Fatty acids'],['Fatty Acids and Conjugates'],['Halogenated fatty acids'],['Unsaturated fatty acids'],['Fatty Acids and Conjugates'],['Fatty acids'],False
CCCc1cc(O)cc2c1Oc1cc(O)cc(CCC)c1C(=O)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
CC1CC2CC(=O)C1C(C1=CCCN3CCCC13)=N2,['Alkaloids'],['Lysine alkaloids'],['Indolizidine alkaloids'],['Quinolizidine alkaloids'],['Lysine alkaloids'],['Alkaloids'],False
O=c1c2cc3c(cc2c2cccc4ccn1c42)OCO3,['Alkaloids'],['Tyrosine alkaloids'],['Amarylidaceae alkaloids'],['Isoquinoline alkaloids'],['Tyrosine alkaloids'],['Alkaloids'],False
CC(C)=CCc1c(O)cc2c(c1C)Oc1c(C=O)c(O)cc(C)c1C(=O)O2,['Polyketides'],['Aromatic polyketides'],['Depsides and depsidones'],['Depsidones'],['Aromatic polyketides'],['Polyketides'],False
